year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2024,8,9E,Endeavor Air Inc.,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",85.00,8.00,4.00,0.49,3.51,0.00,0.00,2.00,0.00,417.00,245.00,35.00,137.00,0.00,0.00
2024,8,9E,Endeavor Air Inc.,AEX,"Alexandria, LA: Alexandria International",85.00,16.00,7.98,2.00,2.15,0.00,3.88,1.00,1.00,864.00,396.00,168.00,98.00,0.00,202.00
2024,8,9E,Endeavor Air Inc.,AGS,"Augusta, GA: Augusta Regional at Bush Field",178.00,23.00,10.96,1.36,5.33,0.00,5.35,6.00,1.00,1219.00,592.00,40.00,169.00,0.00,418.00
2024,8,9E,Endeavor Air Inc.,ALB,"Albany, NY: Albany International",82.00,18.00,7.06,0.00,4.09,0.00,6.85,5.00,0.00,988.00,416.00,0.00,172.00,0.00,400.00
2024,8,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1919.00,215.00,67.74,8.05,41.72,0.00,97.49,40.00,1.00,20110.00,9418.00,896.00,2047.00,0.00,7749.00
2024,8,9E,Endeavor Air Inc.,ATW,"Appleton, WI: Appleton International",4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2024,8,9E,Endeavor Air Inc.,AVL,"Asheville, NC: Asheville Regional",57.00,10.00,5.55,0.00,2.52,0.00,1.93,2.00,0.00,730.00,335.00,0.00,164.00,0.00,231.00
2024,8,9E,Endeavor Air Inc.,BDL,"Hartford, CT: Bradley International",26.00,7.00,0.49,0.00,2.24,0.00,4.27,3.00,0.00,571.00,43.00,0.00,61.00,0.00,467.00
2024,8,9E,Endeavor Air Inc.,BGM,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",31.00,4.00,2.96,0.00,0.00,0.00,1.04,4.00,0.00,170.00,132.00,0.00,0.00,0.00,38.00
2024,8,9E,Endeavor Air Inc.,BGR,"Bangor, ME: Bangor International",124.00,26.00,5.10,0.93,8.32,0.00,11.65,15.00,0.00,2003.00,900.00,103.00,286.00,0.00,714.00
2024,8,9E,Endeavor Air Inc.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",84.00,15.00,3.72,0.00,4.61,0.00,6.67,8.00,0.00,738.00,169.00,0.00,178.00,0.00,391.00
2024,8,9E,Endeavor Air Inc.,BIS,"Bismarck/Mandan, ND: Bismarck Municipal",5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2024,8,9E,Endeavor Air Inc.,BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",62.00,8.00,2.04,0.02,2.50,0.00,3.43,1.00,0.00,436.00,122.00,1.00,114.00,0.00,199.00
