,Year,Month,Airline Name,Arrival Airport,airport_name,Delay due to Airline in Mins,Delay due to Weather in Mins,Delay due to NAS in Mins,Delay due to Security in Mins,Delay due to Late Aircraft in Mins,# of Airline Delays,# of Weather Delays,# of NAS Delays,# of Security Delays,# of Late Aircraft Delays
0,2022,11,Piedmont Airlines,SYR,"Syracuse, NY: Syracuse Hancock International",0.0,8.0,10.0,0.0,441.0,0.0,0.14,0.5,0.0,6.36
1,2021,11,PSA Airlines Inc.,CHO,"Charlottesville, VA: Charlottesville Albemarle",0.0,0.0,2.0,0.0,84.0,0.0,0.0,0.02,0.0,0.98
2,2023,12,Southwest Airlines,MSY,"New Orleans, LA: Louis Armstrong New Orleans International",4962.0,160.0,1659.0,37.0,7779.0,104.16,2.13,53.33,2.0,150.39
3,2023,11,Republic Airline,JAX,"Jacksonville, FL: Jacksonville International",77.0,0.0,82.0,0.0,0.0,2.74,0.0,4.26,0.0,0.0
4,2023,11,Air Wisconsin Airlines Corp,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2022,11,Endeavor Air Inc.,BOS,"Boston, MA: Logan International",29.0,0.0,15.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
6,2021,11,American Airlines Network,TUL,"Tulsa, OK: Tulsa International",485.0,28.0,65.0,0.0,648.0,13.29,1.0,2.5,0.0,13.21
7,2022,12,Spirit Airlines,IND,"Indianapolis, IN: Indianapolis International",1123.0,116.0,1817.0,70.0,907.0,23.2,2.01,32.18,0.76,14.84
8,2022,12,SkyWest Airlines Inc.,IMT,"Iron Mountain/Kingsfd, MI: Ford",273.0,284.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0
9,2023,11,Delta Air Lines Network,EWR,"Newark, NJ: Newark Liberty International",1214.0,0.0,669.0,0.0,257.0,22.42,0.0,19.82,0.0,5.76
10,2021,12,Frontier Airlines,CMH,"Columbus, OH: John Glenn Columbus International",489.0,10.0,27.0,0.0,281.0,5.34,0.42,1.09,0.0,4.16
11,2023,12,Air Wisconsin Airlines Corp,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",127.0,2.0,77.0,0.0,163.0,1.43,0.12,1.74,0.0,2.71
12,2023,11,Alaska Airlines Network,KOA,"Kona, HI: Ellison Onizuka Kona International at Keahole",438.0,30.0,384.0,0.0,190.0,12.27,0.97,12.03,0.0,4.73
13,2021,11,SkyWest Airlines Inc.,HIB,"Hibbing, MN: Range Regional",1163.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
