,Date,Airline Name,Arrival Airport,airport_name,Delay due to Airline in Mins,Delay due to Weather in Mins,Delay due to NAS in Mins,Delay due to Security in Mins,Delay due to Late Aircraft in Mins,# of Airline Delays,# of Weather Delays,# of NAS Delays,# of Security Delays,# of Late Aircraft Delays
0,12/2022,SkyWest Airlines Inc.,SLN,"Salina, KS: Salina Regional",490.0,321.0,0.0,0.0,248.0,5.0,3.0,0.0,0.0,9.0
1,12/2023,Southwest Airlines,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",13084.0,279.0,7156.0,247.0,27196.0,331.47,5.36,247.99,9.25,552.94
2,11/2021,Frontier Airlines,OMA,"Omaha, NE: Eppley Airfield",94.0,0.0,103.0,0.0,235.0,2.81,0.0,2.81,0.0,1.38
3,12/2022,SkyWest Airlines Inc.,PIT,"Pittsburgh, PA: Pittsburgh International",390.0,1515.0,0.0,0.0,27.0,10.0,15.0,0.0,0.0,1.0
4,11/2022,SkyWest Airlines Inc.,HLN,"Helena, MT: Helena Regional",909.0,0.0,0.0,0.0,64.0,2.0,0.0,0.0,0.0,1.0
5,11/2023,Horizon Air,PDX,"Portland, OR: Portland International",1875.0,155.0,873.0,0.0,3070.0,18.76,2.81,22.8,0.0,45.63
6,11/2023,Alaska Airlines Network,CHS,"Charleston, SC: Charleston AFB/International",153.0,75.0,88.0,0.0,13.0,1.47,0.83,2.3,0.0,0.39
7,11/2023,Mesa Airlines Inc.,STL,"St. Louis, MO: St Louis Lambert International",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,12/2022,Delta Air Lines Network,OMA,"Omaha, NE: Eppley Airfield",1511.0,7.0,86.0,0.0,179.0,13.69,0.18,1.7,0.0,4.44
9,11/2022,United Air Lines Network,SPN,"Saipan, TT: Francisco C. Ada Saipan International",6.0,0.0,12.0,0.0,0.0,0.33,0.0,0.67,0.0,0.0
10,11/2023,American Airlines Network,SRQ,"Sarasota/Bradenton, FL: Sarasota/Bradenton International",1146.0,26.0,193.0,0.0,1271.0,18.26,0.1,7.61,0.0,18.02
11,12/2021,American Airlines Network,FAT,"Fresno, CA: Fresno Yosemite International",748.0,0.0,68.0,0.0,148.0,10.71,0.0,1.83,0.0,2.46
12,11/2021,Endeavor Air Inc.,BTV,"Burlington, VT: Burlington International",326.0,157.0,112.0,0.0,96.0,3.83,1.75,3.71,0.0,1.71
13,11/2022,Allegiant Air,LCK,"Columbus, OH: Rickenbacker International",336.0,560.0,631.0,0.0,267.0,5.11,2.0,3.03,0.0,4.85
14,11/2021,Mesa Airlines Inc.,DSM,"Des Moines, IA: Des Moines International",831.0,0.0,26.0,0.0,187.0,10.0,0.0,1.0,0.0,3.0
15,12/2022,Mesa Airlines Inc.,TUS,"Tucson, AZ: Tucson International",143.0,0.0,226.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0
16,12/2023,Piedmont Airlines,EWN,"New Bern/Morehead/Beaufort, NC: Coastal Carolina Regional",114.0,0.0,129.0,0.0,435.0,2.11,0.0,4.04,0.0,4.85
17,12/2021,Republic Airline,PVD,"Providence, RI: Theodore Francis Green State",284.0,251.0,120.0,0.0,385.0,4.8,3.35,3.93,0.0,6.92
18,12/2023,Southwest Airlines,SBA,"Santa Barbara, CA: Santa Barbara Municipal",389.0,0.0,97.0,0.0,403.0,11.13,0.0,2.67,0.0,9.2
19,12/2022,American Airlines Network,RNO,"Reno, NV: Reno/Tahoe International",359.0,1358.0,412.0,0.0,1255.0,10.7,7.62,13.66,0.0,19.02
20,12/2023,Spirit Airlines,ACY,"Atlantic City, NJ: Atlantic City International",1096.0,15.0,1297.0,0.0,2276.0,22.15,0.63,24.31,0.0,22.92
21,11/2023,Republic Airline,DSM,"Des Moines, IA: Des Moines International",8.0,0.0,109.0,0.0,83.0,0.32,0.0,3.78,0.0,1.9
22,12/2021,Mesa Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",4029.0,0.0,257.0,0.0,4622.0,54.0,0.0,12.0,0.0,58.0
23,12/2022,PSA Airlines Inc.,TRI,"Bristol/Johnson City/Kingsport, TN: Tri Cities",80.0,0.0,55.0,0.0,0.0,2.11,0.0,1.89,0.0,0.0
24,12/2023,SkyWest Airlines Inc.,LIT,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",546.0,192.0,283.0,0.0,154.0,9.69,1.0,8.14,0.0,5.17
25,12/2023,Delta Air Lines Network,BNA,"Nashville, TN: Nashville International",2287.0,0.0,516.0,0.0,980.0,37.49,0.0,14.47,0.0,9.04
26,11/2023,Republic Airline,MHT,"Manchester, NH: Manchester Boston Regional",115.0,0.0,10.0,0.0,212.0,2.72,0.0,0.45,0.0,1.84
27,11/2022,SkyWest Airlines Inc.,LGB,"Long Beach, CA: Long Beach Airport",1337.0,196.0,0.0,0.0,0.0,15.0,6.0,0.0,0.0,0.0
28,11/2023,Delta Air Lines Network,HPN,"White Plains, NY: Westchester County",212.0,0.0,236.0,0.0,820.0,3.22,0.0,7.87,0.0,7.91
29,11/2021,Spirit Airlines,IND,"Indianapolis, IN: Indianapolis International",478.0,26.0,556.0,62.0,252.0,12.61,0.74,11.85,2.23,7.56
