,Date,Airline Name,Arrival Airport,Delay due to Airline in Mins,Delay due to Weather in Mins,Delay due to NAS in Mins,Delay due to Security in Mins,Delay due to Late Aircraft in Mins,# of Airline Delays,# of Weather Delays,# of NAS Delays,# of Security Delays,# of Late Aircraft Delays
0,11/23,Piedmont Airlines,FSD,0.0,0.0,80.0,0.0,184.0,0.0,0.0,1.0,0.0,2.0
1,12/23,Alaska Airlines Network,OME,174.0,62.0,35.0,0.0,43.0,4.2,1.55,1.31,0.0,0.93
2,12/23,United Air Lines Network,CLE,882.0,132.0,796.0,0.0,1967.0,25.37,2.02,20.81,0.0,28.8
3,12/21,Air Wisconsin Airlines Corp,LNK,158.0,0.0,73.0,0.0,949.0,2.95,0.0,1.63,0.0,4.42
4,11/22,Delta Air Lines Network,PNS,578.0,128.0,60.0,0.0,99.0,15.62,1.87,1.73,0.0,3.78
5,12/23,PSA Airlines Inc.,PNS,704.0,103.0,262.0,0.0,937.0,6.89,2.3,7.74,0.0,11.08
6,12/22,Spirit Airlines,FLL,12590.0,1813.0,10387.0,174.0,12212.0,175.69,21.15,202.41,5.31,151.44
7,12/21,United Air Lines Network,SRQ,921.0,0.0,994.0,0.0,1219.0,16.6,0.0,19.08,0.0,15.32
8,12/23,Alaska Airlines Network,MKE,40.0,0.0,142.0,0.0,0.0,1.31,0.0,6.69,0.0,0.0
9,12/23,Envoy Air,BZN,2.0,0.0,0.0,0.0,90.0,0.02,0.0,0.0,0.0,0.98
10,12/21,Piedmont Airlines,RIC,439.0,0.0,95.0,0.0,355.0,4.82,0.0,3.19,0.0,4.99
11,11/22,Delta Air Lines Network,DAY,137.0,0.0,33.0,0.0,58.0,3.9,0.0,1.16,0.0,2.94
12,11/22,Spirit Airlines,MIA,3666.0,205.0,3950.0,14.0,3191.0,43.65,3.09,72.03,0.45,39.78
13,11/21,Horizon Air,ANC,462.0,118.0,509.0,247.0,2711.0,6.77,1.86,14.46,8.61,40.3
14,12/23,Allegiant Air,EVV,14.0,0.0,79.0,0.0,0.0,0.15,0.0,0.85,0.0,0.0
15,12/22,SkyWest Airlines Inc.,FAT,2717.0,1109.0,44.0,0.0,2895.0,50.0,5.0,1.0,0.0,36.0
16,12/23,SkyWest Airlines Inc.,JLN,2789.0,0.0,13.0,0.0,356.0,4.0,0.0,0.11,0.0,4.89
