,Year,Month,Airline Name,Arrival Airport,Delay due to Airline in Mins,Delay due to Weather in Mins,Delay due to NAS in Mins,Delay due to Security in Mins,Delay due to Late Aircraft in Mins,# of Airline Delays,# of Weather Delays,# of NAS Delays,# of Security Delays,# of Late Aircraft Delays
0,2022,11,United Air Lines Network,FSD,895.0,0.0,107.0,0.0,574.0,7.81,0.0,3.41,0.0,6.78
1,2021,12,Spirit Airlines,PBI,19.0,0.0,143.0,0.0,155.0,0.37,0.0,3.63,0.0,2.0
2,2022,11,Alaska Airlines Network,SCC,22.0,0.0,121.0,0.0,0.0,0.63,0.0,3.37,0.0,0.0
3,2021,11,SkyWest Airlines Inc.,MYR,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,1.0
4,2023,12,Spirit Airlines,SEA,203.0,0.0,109.0,0.0,307.0,2.46,0.0,1.98,0.0,2.56
5,2022,11,SkyWest Airlines Inc.,EUG,1367.0,1182.0,61.0,0.0,119.0,31.0,7.0,2.0,0.0,4.0
6,2022,11,Alaska Airlines Network,BZN,0.0,0.0,81.0,0.0,22.0,0.0,0.0,4.0,0.0,1.0
7,2022,12,Mesa Airlines Inc.,LGB,485.0,48.0,34.0,0.0,952.0,6.37,1.0,0.81,0.0,8.82
8,2021,12,Southwest Airlines,PIT,3519.0,0.0,422.0,0.0,4327.0,81.59,0.0,10.06,0.0,78.35
9,2021,11,Envoy Air,SAV,146.0,9.0,33.0,0.0,77.0,1.84,0.21,0.99,0.0,2.96
10,2023,11,Piedmont Airlines,AGS,123.0,39.0,42.0,80.0,462.0,4.62,1.2,2.47,1.0,5.71
11,2021,11,Piedmont Airlines,SBY,167.0,0.0,57.0,0.0,0.0,2.59,0.0,1.41,0.0,0.0
12,2022,12,PSA Airlines Inc.,TYS,556.0,86.0,384.0,23.0,654.0,11.63,1.38,10.82,1.08,9.09
13,2023,11,Envoy Air,BOS,235.0,1.0,287.0,0.0,955.0,5.4,0.04,8.16,0.0,14.4
14,2022,12,Republic Airline,LGA,7389.0,4147.0,18064.0,40.0,8119.0,110.97,38.61,391.66,0.9,90.86
15,2023,11,American Airlines Network,ONT,835.0,0.0,127.0,0.0,1051.0,15.97,0.0,4.53,0.0,14.5
16,2022,11,JetBlue Airways,CHS,1971.0,0.0,595.0,0.0,1915.0,26.89,0.0,15.68,0.0,21.43
17,2021,12,Frontier Airlines,FAT,8.0,0.0,41.0,0.0,29.0,0.24,0.0,1.11,0.0,0.66
18,2021,11,PSA Airlines Inc.,GRR,91.0,0.0,202.0,0.0,55.0,0.92,0.0,2.76,0.0,1.32
19,2021,11,Air Wisconsin Airlines Corp,ROC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2023,12,JetBlue Airways,ROC,799.0,0.0,51.0,0.0,551.0,12.71,0.0,1.27,0.0,9.02
21,2023,12,Delta Air Lines Network,PHX,2946.0,110.0,1183.0,0.0,593.0,39.33,1.06,36.16,0.0,10.45
22,2022,11,Endeavor Air Inc.,TYS,225.0,6.0,326.0,0.0,677.0,3.68,0.35,9.28,0.0,10.69
23,2022,12,Alaska Airlines Network,RDU,252.0,0.0,174.0,11.0,207.0,2.49,0.0,3.96,0.5,4.05
24,2022,12,United Air Lines Network,FAT,434.0,0.0,91.0,0.0,1835.0,3.6,0.0,2.45,0.0,7.95
25,2023,11,United Air Lines Network,HNL,1129.0,0.0,710.0,0.0,655.0,21.03,0.0,19.7,0.0,6.27
